UniProt1,UniProt2,symbol1,symbol2
Q92731,A0AV96,ESR2,RBM47
Q92731,A6NHQ2,ESR2,FBLL1
Q92731,A7E2Y1,ESR2,MYH7B
Q92731,A8CG34,ESR2,POM121C
Q92731,O00148,ESR2,DDX39A
Q92731,O00159,ESR2,MYO1C
Q92731,O00231,ESR2,PSMD11
Q92731,O00232,ESR2,PSMD12
Q92731,O00501,ESR2,CLDN5
Q92731,O00515,ESR2,LAD1
Q92731,O00541,ESR2,PES1
Q92731,O00567,ESR2,NOP56
Q92731,O00571,ESR2,DDX3X
Q92731,O00743,ESR2,PPP6C
Q92731,O14744,ESR2,PRMT5
Q92731,O15020,ESR2,SPTBN2
Q92731,O15027,ESR2,SEC16A
Q92731,O15144,ESR2,ARPC2
Q92731,O15162,ESR2,PLSCR1
Q92731,O15164,ESR2,TRIM24
Q92731,O15226,ESR2,NKRF
Q92731,O15234,ESR2,CASC3
Q92731,O43251,ESR2,RBFOX2
Q92731,O43379,ESR2,WDR62
Q92731,O43513,ESR2,MED7
Q92731,O43593,ESR2,HR
Q92731,O43707,ESR2,ACTN4
Q92731,O43719,ESR2,HTATSF1
Q92731,O43790,ESR2,KRT86
Q92731,O43823,ESR2,AKAP8
Q92731,O60244,ESR2,MED14
Q92731,O60264,ESR2,SMARCA5
Q92731,O60299,ESR2,LZTS3
Q92731,O60662,ESR2,KLHL41
Q92731,O60812,ESR2,HNRNPCL1
Q92731,O75122,ESR2,CLASP2
Q92731,O75369,ESR2,FLNB
Q92731,O75376,ESR2,NCOR1
Q92731,O75396,ESR2,SEC22B
Q92731,O75420,ESR2,GIGYF1
Q92731,O75445,ESR2,USH2A
Q92731,O75448,ESR2,MED24
Q92731,O75526,ESR2,RBMXL2
Q92731,O75569,ESR2,PRKRA
Q92731,O75586,ESR2,MED6
Q92731,O75683,ESR2,SURF6
Q92731,O75925,ESR2,PIAS1
Q92731,O75928,ESR2,PIAS2
Q92731,O75934,ESR2,BCAS2
Q92731,O76011,ESR2,KRT34
Q92731,O76013,ESR2,KRT36
Q92731,O76014,ESR2,KRT37
Q92731,O76041,ESR2,NEBL
Q92731,O94776,ESR2,MTA2
Q92731,O94832,ESR2,MYO1D
Q92731,O95678,ESR2,KRT75
Q92731,O95782,ESR2,AP2A1
Q92731,O95793,ESR2,STAU1
Q92731,P01100,ESR2,FOS
Q92731,P01178,ESR2,OXT
Q92731,P03372,ESR2,ESR1
Q92731,P04155,ESR2,TFF1
Q92731,P04350,ESR2,TUBB4A
Q92731,P05141,ESR2,SLC25A5
Q92731,P05388,ESR2,RPLP0
Q92731,P06239,ESR2,LCK
Q92731,P06396,ESR2,GSN
Q92731,P07237,ESR2,P4HB
Q92731,P07814,ESR2,EPRS1
Q92731,P07900,ESR2,HSP90AA1
Q92731,P07942,ESR2,LAMB1
Q92731,P08047,ESR2,SP1
Q92731,P08107,ESR2,HSPA1A
Q92731,P08670,ESR2,VIM
Q92731,P08708,ESR2,RPS17
Q92731,P09543,ESR2,CNP
Q92731,P09622,ESR2,DLD
Q92731,P0CG48,ESR2,UBC
Q92731,P10275,ESR2,AR
Q92731,P10515,ESR2,DLAT
Q92731,P10826,ESR2,RARB
Q92731,P11142,ESR2,HSPA8
Q92731,P12004,ESR2,PCNA
Q92731,P12036,ESR2,NEFH
Q92731,P12273,ESR2,PIP
Q92731,P12814,ESR2,ACTN1
Q92731,P12883,ESR2,MYH7
Q92731,P12931,ESR2,SRC
Q92731,P14136,ESR2,GFAP
Q92731,P14314,ESR2,PRKCSH
Q92731,P15170,ESR2,GSPT1
Q92731,P15172,ESR2,MYOD1
Q92731,P15924,ESR2,DSP
Q92731,P16403,ESR2,H1-2
Q92731,P16520,ESR2,GNB3
Q92731,P17066,ESR2,HSPA6
Q92731,P17844,ESR2,DDX5
Q92731,P17987,ESR2,TCP1
Q92731,P18124,ESR2,RPL7
Q92731,P18621,ESR2,RPL17
Q92731,P19012,ESR2,KRT15
Q92731,P19013,ESR2,KRT4
Q92731,P19793,ESR2,RXRA
Q92731,P20930,ESR2,FLG
Q92731,P21333,ESR2,FLNA
Q92731,P22090,ESR2,RPS4Y1
Q92731,P22528,ESR2,SPRR1B
Q92731,P23396,ESR2,RPS3
Q92731,P24386,ESR2,CHM
Q92731,P24863,ESR2,CCNC
Q92731,P25054,ESR2,APC
Q92731,P25398,ESR2,RPS12
Q92731,P26232,ESR2,CTNNA2
Q92731,P26641,ESR2,EEF1G
Q92731,P27348,ESR2,YWHAQ
Q92731,P27708,ESR2,CAD
