LID,age,age_cat_teeth,L.up_M3,L.low_M3,R.up_M3,R.low_M3,teeth.notes,age.notes
LID_103738,unknown,adult male,worn,worn,worn,worn,,
LID_103740,10.9,adult male,present,present,present,present,,
LID_103741,16.55,adult male,present,present,present,present,,
LID_103742,10.32,adult female,present,not fully errupted,present,present,,
LID_103743,13.56,adult male,present,present,present,present,,
LID_103744,7.01,subadult male,missing,missing,missing,missing,M3s missing ,
LID_103745,14.35,adult female,present,present,present,present,,
LID_103746,unknown,adult male,present,present,present,present,,
LID_103747,unknown,adult male,present,present,present,present,,
LID_103748,16.72,adult female,present,present,present,present,,
LID_103749,8.8,adult female,present,present,present,present,,
LID_103771,12.22,adult female,present,present,present,present,,
LID_103772,8.7,adult female,present,present,present,present,,
LID_103773,7.96,adult male,present,present,present,present,M3s present,
LID_103774,8.5,adult male,present,present,present,present,M3s present,under 18kg adult
LID_103750,12.52,adult female,present,present,present,present,,
LID_103751,16.25,adult female,worn,worn,worn,worn,,
LID_103752,10.99,adult male,present,present,present,present,,
LID_103753,8.81,adult female,present,present,present,present,,
LID_103754,4.69,subadult female,present,present,present,present,,listed as a juvenile in notes 
LID_103755,6.65,subadult male,not erupted,not erupted,not erupted,not erupted,M3s not erupted,
LID_103756,,subadult female,missing,missing,missing,missing,M3s missing ,
LID_103757,11.7,adult female,worn ,worn ,worn ,worn ,,
LID_103758,8.66,adult male,present,present,present,present,M3s present,under 18kg adult
LID_103760,10.64,adult female,present,present,present,present,,
LID_103770,9.34,adult female,,,,,Missing teeth data,
LID_103762,8.57,adult male,present,present,present,present,has M3s,under 18kg adult
LID_103763,unknown,adult male,present,present,present,present,,
LID_103764,unknown,adult male,present,present,present,present,,
LID_103765,unknown,adult male,present,present,present,present,,
LID_103766,unknown,subadult male,present,erupting,present,erupting,M3s erupting_half present and half absent,
LID_103767,unknown,adult female,present,present,present,present,,
LID_103775,unknown,adult female,missing,present,erupting,present,3/4 M3s present; listed as pregnant,
LID_103776,unknown,subadult male,missing,missing,missing,missing,M3s missing ,
LID_103777,unknown,subadult male,missing,missing,missing,missing,M3s missing ,
LID_103769,unknown,subadult male,missing,missing,missing,missing,M3s missing ,
