date,collection_year,dart_id,id,rna_seq,sex,age_cat_teeth,mass_kg,camera_brand,rg
11/10/17,2017,17_001,UNK,LID_103738,M,adult male,20.5,Nikon,1.191925877
11/15/17,2017,17_009,DEM,LID_103740,M,adult male,21.87,Nikon,1.718605628
11/16/17,2017,17_010,VOD,,M,adult male,20.2,Nikon,1.346656665
11/16/17,2017,17_011,BUM,LID_103741,M,adult male,20.1,Nikon,1.264655172
11/17/17,2017,17_013,OTA,LID_103743,M,adult male,19.6,Nikon,1.294645102
11/17/17,2017,17_016,CAP,,F,adult female,13.85,Nikon,1.434314769
11/20/17,2017,17_019,DEL,LID_103748,F,adult female,14.9,Nikon,1.213146922
11/20/17,2017,17_020,DIX,LID_103749,F,adult female,12.3,Nikon,1.282796781
2/14/19,2019,19_001,FET,,M,adult male,13,Nikon,1.525822234
2/15/19,2019,19_002,VIX,,F,adult female,12.03,Sony,1.710530639
2/15/19,2019,19_003,CHU,LID_103750,F,adult female,12.9,Nikon,1.388968963
2/16/19,2019,19_004,CLO,,F,adult female,13.3,Nikon,1.538330106
2/16/19,2019,19_005,MID,LID_103751,F,adult female,13.5,Sony,1.343722564
2/16/19,2019,19_006,MAR,,F,adult female,13,Sony,1.23590961
2/16/19,2019,19_007,CEY,,F,adult female,12.5,Sony,1.167896679
2/18/19,2019,19_008,DAX,LID_103752,M,adult male,19.5,Sony,1.290397112
2/18/19,2019,19_009,DES,,F,adult female,14.5,Sony,1.214050582
2/18/19,2019,19_011,MEE,,F,adult female,12,Sony,1.199395277
2/19/19,2019,19_012,BIE,LID_103753,F,adult female,11.6,Sony,1.342358974
2/19/19,2019,19_013,BAS,LID_103754,F,adult female,9.5,Sony,1.281070969
2/20/19,2019,19_016,DIA,LID_103757,F,adult female,12.4,Sony,1.441184424
2/20/19,2019,19_017,CAS,,F,adult female,13.3,Sony,1.167861063
2/20/19,2019,19_018,DEB,,F,adult female,13.2,Sony,1.157646864
2/20/19,2019,19_019,GUN,LID_103758,M,adult male,17.6,Sony,1.52684492
2/20/19,2019,19_020,SOL,,M,adult male,22.9,Sony,1.434859296
2/21/19,2019,19_021,NAU,LID_103760,F,adult female,12.9,Sony,1.148055833
2/22/19,2019,19_023,ISA,LID_103762,M,adult male,16.3,Sony,1.380113931
2/22/19,2019,19_024,BACH 1,LID_103763,M,adult male,23,Sony,1.648903879
2/22/19,2019,19_025,BACH 2,LID_103764,M,adult male,21.3,Sony,1.335317578
2/23/19,2019,19_026,BACH 3,LID_103765,M,adult male,20.8,Sony,1.18952497
1/23/20,2020,20_001,TAL,,M,adult male,NA,Nikon,1.45605802
1/24/20,2020,20_004,VIV,,F,adult female,NA,Sony,1.333657872
1/25/20,2020,20_011,UNK Bachelor,,M,adult male,NA,Sony,1.461820403
1/27/20,2020,20_013,UNK Bachelor,,M,adult male,NA,Sony,1.301243261
1/27/20,2020,20_014,UNK Bachelor,,M,adult male,NA,Sony,1.118921569
1/28/20,2020,20_023,LYP,,M,adult male,NA,Sony,1.155250282
2/1/20,2020,20_045,UNK MALE,,M,adult male,NA,Sony,1.281840194
2/1/20,2020,20_47,UNK MALE,,M,adult male,NA,Sony,1.264144012
