dart_id,sex,heat,none,change
17_010,M,1.456919389,1.346656665,0.110262724
17_011,M,1.60288265,1.264655172,0.338227478
17_013,M,1.366656866,1.294645102,0.072011764
17_019,F,1.399896587,1.213146922,0.186749665
17_020,F,1.316766937,1.282796781,0.033970156
19_001,M,1.329238551,1.525822234,-0.196583683
19_003,F,1.291007494,1.388968963,-0.097961469
19_008,M,1.35789909,1.290397112,0.067501978
19_019,M,1.350734095,1.52684492,-0.176110825
19_020,M,1.570687419,1.434859296,0.135828123
19_023,M,1.34698816,1.380113931,-0.033125771
19_025,M,1.380147899,1.335317578,0.044830321
19_026,M,1.375214359,1.18952497,0.185689389
20_013,M,1.287730384,1.301243261,-0.013512877
20_014,M,1.210516028,1.118921569,0.091594459
20_023,M,1.215638477,1.155250282,0.060388195
