id,max,min,range,sex,N,camera_brand
CAL,1.630589609,1.244016428,0.386573181,F,8,Sony
CAR,1.837900536,1.304458408,0.533442128,F,10,Sony
CEE,1.54620796,1.314359638,0.231848322,F,5,both
COC,1.720952726,1.351341585,0.369611141,F,6,both
COL,1.319692392,1.309369428,0.010322964,F,2,Sony
COO,1.635411344,1.372597763,0.262813581,F,16,Sony
COR,1.635751902,1.42577712,0.209974782,F,3,both
DEL,1.901122559,1.512536351,0.388586208,F,8,Sony
KAR,1.387428056,1.378997987,0.008430069,F,2,Sony
KEE,1.558327804,1.407020764,0.15130704,F,2,Sony
KIM,1.382423798,1.290830946,0.091592852,F,2,Sony
VAL,1.883529907,1.527777778,0.355752129,F,4,Sony
VER,1.446155757,1.360333589,0.085822168,F,2,Sony
BEN,1.681756528,1.292460746,0.389295782,M,6,both
BUB,1.75751338,1.433145009,0.324368371,M,3,Nikon
DEV,1.583814253,1.46935598,0.114458273,M,3,Nikon
DIK,1.643818375,1.540986682,0.102831693,M,2,Nikon
DUB,1.492724945,1.349940796,0.142784149,M,2,Nikon
FRA,1.98538206,1.285605318,0.699776742,M,4,Nikon
HOU,1.719560574,1.364363778,0.355196796,M,5,Sony
HUX,2.701429006,1.45501483,1.246414176,M,4,both
ITC,1.694608521,1.450153161,0.24445536,M,2,Nikon
KNU,2.407106991,1.356119436,1.050987555,M,3,both
LEB,1.524579048,1.247221158,0.27735789,M,3,Nikon
MOB,3.084428924,1.792290988,1.292137936,M,2,Nikon
NAF,1.677913152,1.456041257,0.221871895,M,3,Nikon
NIK,1.810152653,1.447802198,0.362350455,M,3,Nikon
OLA,1.707181753,1.492674166,0.214507587,M,3,Nikon
RWA,1.52884501,1.42871324,0.10013177,M,3,Nikon
SAA,1.540540541,1.37394669,0.166593851,M,3,Nikon
SAW,1.6108,1.371077763,0.239722237,M,4,Nikon
SON,1.756712863,1.614644153,0.14206871,M,2,Nikon
SPO,1.514407684,1.424525316,0.089882368,M,2,Nikon
WAY,1.987187404,1.904007987,0.083179417,M,2,Nikon
WEB,1.734635677,1.460501369,0.274134308,M,5,Sony
ZEU,1.537760137,1.267899761,0.269860376,M,4,Nikon
