gene,chr_scaff_name
ENSMMUG00000023296,1
ENSMMUG00000036181,1
ENSMMUG00000000634,1
ENSMMUG00000037875,1
ENSMMUG00000000632,1
ENSMMUG00000064799,1
ENSMMUG00000057389,1
ENSMMUG00000031200,1
ENSMMUG00000052613,1
ENSMMUG00000031199,1
ENSMMUG00000053841,1
ENSMMUG00000017095,1
ENSMMUG00000025700,1
ENSMMUG00000049101,1
ENSMMUG00000048289,1
ENSMMUG00000017368,1
ENSMMUG00000055842,1
ENSMMUG00000031198,1
ENSMMUG00000062331,1
ENSMMUG00000049901,1
ENSMMUG00000064657,1
ENSMMUG00000005566,1
ENSMMUG00000064874,1
ENSMMUG00000039595,1
ENSMMUG00000038524,1
ENSMMUG00000049432,1
ENSMMUG00000050812,1
ENSMMUG00000059065,1
ENSMMUG00000064763,1
ENSMMUG00000053957,1
ENSMMUG00000062908,1
ENSMMUG00000057748,1
ENSMMUG00000051218,1
ENSMMUG00000050041,1
ENSMMUG00000052261,1
ENSMMUG00000054556,1
ENSMMUG00000060886,1
ENSMMUG00000062168,1
ENSMMUG00000059751,1
ENSMMUG00000018891,1
ENSMMUG00000056262,1
ENSMMUG00000038159,1
ENSMMUG00000005570,1
ENSMMUG00000006214,1
ENSMMUG00000056211,1
ENSMMUG00000049478,1
ENSMMUG00000062849,1
ENSMMUG00000064145,1
ENSMMUG00000059455,1
ENSMMUG00000016175,1
ENSMMUG00000016176,1
ENSMMUG00000058340,1
ENSMMUG00000005955,1
ENSMMUG00000012954,1
ENSMMUG00000060427,1
ENSMMUG00000005949,1
ENSMMUG00000005946,1
ENSMMUG00000052686,1
ENSMMUG00000019585,1
ENSMMUG00000064912,1
ENSMMUG00000021266,1
ENSMMUG00000058602,1
ENSMMUG00000059322,1
ENSMMUG00000004566,1
ENSMMUG00000058214,1
ENSMMUG00000023311,1
ENSMMUG00000050290,1
ENSMMUG00000054567,1
ENSMMUG00000031191,1
ENSMMUG00000061999,1
ENSMMUG00000016408,1
ENSMMUG00000049281,1
ENSMMUG00000053269,1
ENSMMUG00000022208,1
ENSMMUG00000056452,1
ENSMMUG00000050866,1
ENSMMUG00000057881,1
ENSMMUG00000062560,1
ENSMMUG00000064226,1
ENSMMUG00000061675,1
ENSMMUG00000053105,1
ENSMMUG00000044246,1
ENSMMUG00000052988,1
ENSMMUG00000051199,1
ENSMMUG00000058983,1
ENSMMUG00000050099,1
ENSMMUG00000053289,1
ENSMMUG00000050167,1
ENSMMUG00000054394,1
ENSMMUG00000050971,1
ENSMMUG00000026576,1
ENSMMUG00000050302,1
ENSMMUG00000061587,1
ENSMMUG00000064992,1
ENSMMUG00000025558,1
ENSMMUG00000060709,1
ENSMMUG00000035621,1
ENSMMUG00000050926,1
ENSMMUG00000047025,1
ENSMMUG00000051961,1
ENSMMUG00000056846,1
ENSMMUG00000062726,1
ENSMMUG00000036728,1
ENSMMUG00000050964,1
ENSMMUG00000065137,1
ENSMMUG00000057829,1
ENSMMUG00000061941,1
ENSMMUG00000054812,1
ENSMMUG00000059354,1
ENSMMUG00000045839,2
ENSMMUG00000054381,1
ENSMMUG00000049093,2
ENSMMUG00000057363,2
ENSMMUG00000051050,3
ENSMMUG00000054970,3
ENSMMUG00000055981,1
ENSMMUG00000052461,1
ENSMMUG00000058124,1
ENSMMUG00000060426,1
ENSMMUG00000059666,1
ENSMMUG00000060006,1
ENSMMUG00000025681,1
ENSMMUG00000062580,1
ENSMMUG00000001382,1
ENSMMUG00000043586,1
ENSMMUG00000052364,1
ENSMMUG00000052910,1
ENSMMUG00000064896,1
ENSMMUG00000060928,1
ENSMMUG00000011380,1
ENSMMUG00000002585,1
ENSMMUG00000062933,1
ENSMMUG00000059690,1
ENSMMUG00000055490,1
ENSMMUG00000055003,1
ENSMMUG00000056502,2
ENSMMUG00000055345,2
ENSMMUG00000026049,2
ENSMMUG00000005777,1
ENSMMUG00000024556,1
ENSMMUG00000008153,1
ENSMMUG00000017324,1
ENSMMUG00000050220,1
ENSMMUG00000052401,1
ENSMMUG00000059892,1
ENSMMUG00000027317,1
ENSMMUG00000008847,1
ENSMMUG00000011424,1
ENSMMUG00000057396,1
ENSMMUG00000036930,1
ENSMMUG00000060683,1
ENSMMUG00000023150,2
ENSMMUG00000051140,1
ENSMMUG00000053368,1
ENSMMUG00000036090,1
ENSMMUG00000050136,1
ENSMMUG00000060516,1
ENSMMUG00000054234,2
ENSMMUG00000021098,1
ENSMMUG00000013353,2
ENSMMUG00000059986,1
ENSMMUG00000062668,1
ENSMMUG00000058292,1
ENSMMUG00000031175,1
ENSMMUG00000048085,1
ENSMMUG00000062648,1
ENSMMUG00000054073,1
ENSMMUG00000057626,1
ENSMMUG00000018525,1
ENSMMUG00000022310,1
ENSMMUG00000058133,1
ENSMMUG00000052237,1
ENSMMUG00000012031,1
ENSMMUG00000000021,1
ENSMMUG00000008636,1
ENSMMUG00000050632,1
ENSMMUG00000021388,1
ENSMMUG00000062093,1
ENSMMUG00000000016,1
ENSMMUG00000012028,1
ENSMMUG00000010176,1
ENSMMUG00000000015,1
ENSMMUG00000058747,1
ENSMMUG00000059503,1
ENSMMUG00000053405,1
ENSMMUG00000058339,1
ENSMMUG00000041413,1
ENSMMUG00000006252,1
ENSMMUG00000048772,1
ENSMMUG00000050870,2
ENSMMUG00000039543,1
ENSMMUG00000053438,1
ENSMMUG00000047935,1
ENSMMUG00000011832,1
ENSMMUG00000055596,1
ENSMMUG00000008149,1
ENSMMUG00000015664,1
ENSMMUG00000061500,1
ENSMMUG00000019771,1
ENSMMUG00000063991,1
ENSMMUG00000058567,1
ENSMMUG00000055600,1
ENSMMUG00000058282,1
ENSMMUG00000044406,1
ENSMMUG00000049847,1
ENSMMUG00000026424,1
ENSMMUG00000055817,1
ENSMMUG00000042021,1
ENSMMUG00000006251,1
ENSMMUG00000002141,1
ENSMMUG00000008836,1
ENSMMUG00000002142,1
ENSMMUG00000019995,1
ENSMMUG00000000932,2
ENSMMUG00000053224,1
ENSMMUG00000015158,1
ENSMMUG00000022196,2
ENSMMUG00000008835,1
ENSMMUG00000008146,1
ENSMMUG00000064143,1
ENSMMUG00000034148,2
ENSMMUG00000010977,1
ENSMMUG00000008145,1
ENSMMUG00000056564,1
ENSMMUG00000003304,2
ENSMMUG00000015156,1
ENSMMUG00000057586,1
ENSMMUG00000031508,2
ENSMMUG00000054804,1
ENSMMUG00000003343,1
ENSMMUG00000060391,1
ENSMMUG00000055518,1
ENSMMUG00000000933,2
ENSMMUG00000025174,1
ENSMMUG00000057562,1
ENSMMUG00000050612,2
ENSMMUG00000057322,2
ENSMMUG00000064198,2
ENSMMUG00000063790,2
ENSMMUG00000051858,2
ENSMMUG00000015155,1
ENSMMUG00000050796,1
ENSMMUG00000045106,1
ENSMMUG00000061927,1
ENSMMUG00000008638,1
ENSMMUG00000016974,2
ENSMMUG00000010973,1
ENSMMUG00000002953,2
ENSMMUG00000061122,2
ENSMMUG00000010978,1
ENSMMUG00000051774,1
ENSMMUG00000054972,2
ENSMMUG00000052045,1
ENSMMUG00000055243,2
ENSMMUG00000022199,2
ENSMMUG00000019994,1
ENSMMUG00000050423,1
ENSMMUG00000031655,1
ENSMMUG00000053265,1
ENSMMUG00000022884,1
ENSMMUG00000063102,1
ENSMMUG00000010979,1
ENSMMUG00000015150,1
ENSMMUG00000010970,1
ENSMMUG00000010980,1
ENSMMUG00000064110,1
ENSMMUG00000008917,1
ENSMMUG00000055701,2
ENSMMUG00000053474,1
ENSMMUG00000022886,1
ENSMMUG00000003262,2
ENSMMUG00000058556,1
ENSMMUG00000011221,1
ENSMMUG00000049444,1
ENSMMUG00000040678,1
ENSMMUG00000006022,1
ENSMMUG00000001803,1
ENSMMUG00000010961,1
ENSMMUG00000059457,1
ENSMMUG00000022173,1
ENSMMUG00000047604,1
ENSMMUG00000056485,1
ENSMMUG00000032222,1
ENSMMUG00000022171,1
ENSMMUG00000061389,1
ENSMMUG00000004833,1
ENSMMUG00000031291,1
ENSMMUG00000004835,1
ENSMMUG00000012185,1
ENSMMUG00000036025,1
ENSMMUG00000056752,1
ENSMMUG00000001349,2
ENSMMUG00000052576,1
ENSMMUG00000005740,1
ENSMMUG00000047853,1
ENSMMUG00000045584,1
ENSMMUG00000013857,1
ENSMMUG00000016982,2
ENSMMUG00000052341,1
ENSMMUG00000056664,2
ENSMMUG00000015142,1
ENSMMUG00000004832,1
ENSMMUG00000022170,1
ENSMMUG00000035795,2
ENSMMUG00000038517,1
ENSMMUG00000021387,1
ENSMMUG00000015056,1
ENSMMUG00000044778,1
ENSMMUG00000052344,1
ENSMMUG00000059270,1
ENSMMUG00000061945,1
ENSMMUG00000064796,1
ENSMMUG00000006868,1
ENSMMUG00000008435,1
ENSMMUG00000049733,1
ENSMMUG00000005634,1
ENSMMUG00000006865,1
ENSMMUG00000019287,1
ENSMMUG00000013090,1
ENSMMUG00000058244,1
ENSMMUG00000052239,1
ENSMMUG00000053940,1
ENSMMUG00000064041,1
ENSMMUG00000032677,1
ENSMMUG00000060204,1
ENSMMUG00000053534,1
ENSMMUG00000045550,1
ENSMMUG00000051554,1
ENSMMUG00000022168,1
ENSMMUG00000009773,1
ENSMMUG00000042187,1
ENSMMUG00000043598,1
ENSMMUG00000055481,1
ENSMMUG00000061167,1
ENSMMUG00000045959,1
ENSMMUG00000019815,1
ENSMMUG00000031430,1
ENSMMUG00000021750,1
ENSMMUG00000064805,1
ENSMMUG00000051645,1
ENSMMUG00000011222,2
ENSMMUG00000057430,1
ENSMMUG00000051591,1
ENSMMUG00000016984,2
ENSMMUG00000064352,1
ENSMMUG00000059169,1
ENSMMUG00000013738,1
ENSMMUG00000008990,1
ENSMMUG00000021862,1
ENSMMUG00000049143,1
ENSMMUG00000037766,1
ENSMMUG00000019812,1
ENSMMUG00000015924,1
ENSMMUG00000055077,1
ENSMMUG00000050331,1
ENSMMUG00000041086,1
ENSMMUG00000011732,1
ENSMMUG00000053964,1
ENSMMUG00000000425,2
ENSMMUG00000018872,2
ENSMMUG00000015555,1
ENSMMUG00000061474,1
ENSMMUG00000055316,1
ENSMMUG00000019914,1
ENSMMUG00000020834,1
ENSMMUG00000054857,1
ENSMMUG00000010764,1
ENSMMUG00000055798,1
ENSMMUG00000036441,1
ENSMMUG00000064729,1
ENSMMUG00000057296,1
ENSMMUG00000011733,1
ENSMMUG00000005618,2
ENSMMUG00000023624,1
ENSMMUG00000015922,1
ENSMMUG00000001264,1
ENSMMUG00000063702,1
ENSMMUG00000054613,1
ENSMMUG00000008992,1
ENSMMUG00000016215,1
ENSMMUG00000042618,1
ENSMMUG00000011711,1
ENSMMUG00000017740,1
ENSMMUG00000019806,1
ENSMMUG00000011735,1
ENSMMUG00000002492,1
ENSMMUG00000016214,1
ENSMMUG00000037367,1
ENSMMUG00000055038,1
ENSMMUG00000003263,2
ENSMMUG00000054634,1
ENSMMUG00000044175,1
ENSMMUG00000063714,2
ENSMMUG00000051719,1
ENSMMUG00000027973,1
ENSMMUG00000052260,1
ENSMMUG00000059561,1
ENSMMUG00000054650,1
ENSMMUG00000049795,2
ENSMMUG00000058472,1
ENSMMUG00000058332,1
ENSMMUG00000043588,1
ENSMMUG00000064604,1
ENSMMUG00000056940,1
ENSMMUG00000062759,1
ENSMMUG00000062448,1
ENSMMUG00000063749,1
ENSMMUG00000048617,2
ENSMMUG00000050859,1
ENSMMUG00000005619,2
ENSMMUG00000055266,1
ENSMMUG00000041482,1
ENSMMUG00000012479,1
ENSMMUG00000061742,1
ENSMMUG00000051816,1
ENSMMUG00000039099,2
ENSMMUG00000063085,1
ENSMMUG00000005635,1
ENSMMUG00000017104,1
ENSMMUG00000001966,1
ENSMMUG00000013602,1
ENSMMUG00000032231,1
ENSMMUG00000053960,1
ENSMMUG00000059167,2
ENSMMUG00000016812,1
ENSMMUG00000049843,1
ENSMMUG00000062996,1
ENSMMUG00000014874,2
ENSMMUG00000004265,1
ENSMMUG00000008549,2
ENSMMUG00000049286,1
ENSMMUG00000059260,2
ENSMMUG00000064556,2
ENSMMUG00000003581,1
ENSMMUG00000053735,1
ENSMMUG00000023382,1
ENSMMUG00000017103,1
ENSMMUG00000058094,1
ENSMMUG00000005210,1
ENSMMUG00000056808,1
ENSMMUG00000056341,1
ENSMMUG00000013596,1
ENSMMUG00000014876,2
ENSMMUG00000050804,1
ENSMMUG00000053498,1
ENSMMUG00000013987,2
ENSMMUG00000035346,1
ENSMMUG00000000352,1
ENSMMUG00000052516,1
ENSMMUG00000058456,1
ENSMMUG00000005158,2
ENSMMUG00000001967,1
ENSMMUG00000053723,1
ENSMMUG00000003579,1
ENSMMUG00000017101,1
ENSMMUG00000053323,1
ENSMMUG00000015081,1
ENSMMUG00000059352,2
ENSMMUG00000061598,1
ENSMMUG00000060345,1
ENSMMUG00000009951,1
ENSMMUG00000050772,2
ENSMMUG00000061527,2
ENSMMUG00000009040,1
ENSMMUG00000040888,1
ENSMMUG00000052779,1
ENSMMUG00000056511,1
ENSMMUG00000051943,2
ENSMMUG00000065322,1
ENSMMUG00000045421,1
ENSMMUG00000060445,1
ENSMMUG00000023145,1
ENSMMUG00000057590,2
ENSMMUG00000009948,1
ENSMMUG00000059472,1
ENSMMUG00000059665,1
ENSMMUG00000044187,2
ENSMMUG00000008761,1
ENSMMUG00000022881,2
ENSMMUG00000061947,1
ENSMMUG00000009425,2
ENSMMUG00000053610,1
ENSMMUG00000015084,1
ENSMMUG00000063539,1
ENSMMUG00000058486,1
ENSMMUG00000053934,1
ENSMMUG00000064774,1
ENSMMUG00000022880,2
ENSMMUG00000055760,1
ENSMMUG00000046670,2
ENSMMUG00000025175,2
ENSMMUG00000063807,1
ENSMMUG00000021386,1
ENSMMUG00000020756,1
ENSMMUG00000016808,1
ENSMMUG00000062669,2
ENSMMUG00000056158,2
ENSMMUG00000040694,1
ENSMMUG00000043675,1
ENSMMUG00000014385,2
ENSMMUG00000006894,1
ENSMMUG00000013561,1
ENSMMUG00000008763,1
ENSMMUG00000063725,1
ENSMMUG00000007129,1
ENSMMUG00000019536,1
ENSMMUG00000003309,1
ENSMMUG00000001847,2
ENSMMUG00000043775,1
ENSMMUG00000016793,2
ENSMMUG00000016786,1
ENSMMUG00000062596,1
ENSMMUG00000053652,1
ENSMMUG00000058256,1
ENSMMUG00000005736,1
ENSMMUG00000039340,1
ENSMMUG00000055285,1
ENSMMUG00000037376,2
ENSMMUG00000055815,2
ENSMMUG00000065199,1
ENSMMUG00000020754,1
ENSMMUG00000054107,2
ENSMMUG00000001479,1
ENSMMUG00000019793,1
ENSMMUG00000017351,2
ENSMMUG00000052469,1
ENSMMUG00000000476,1
ENSMMUG00000023200,1
ENSMMUG00000051332,1
ENSMMUG00000036946,1
ENSMMUG00000001849,2
